,ID,CASE_NUMBER,DATE,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA_NUMBER,FBICODE,X_COORDINATE,Y_COORDINATE,YEAR,LATITUDE,LONGITUDE,LOCATION
10,9902691,HX552797,2014-12-23,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,833,8,13.0,65.0,6,1145727.0,1853720.0,2014,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
11,7947964,HT180228,2011-02-26,012XX S HALSTED ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1232,12,25.0,28.0,6,1171230.0,1894421.0,2011,41.86576126,-87.64687598,"(41.865761261, -87.646875977)"
12,8568365,HV243612,2012-04-15,108XX S EMERALD AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,2233,22,34.0,49.0,6,1173239.0,1832994.0,2012,41.69715437,-87.64131567,"(41.697154372, -87.641315669)"
13,5343947,HN200365,2007-02-26,011XX S CANAL ST,842,THEFT,AGG: FINANCIAL ID THEFT,OTHER,False,False,131,1,2.0,28.0,6,1173307.0,1895342.0,2007,41.86824272,-87.63922391,"(41.868242722, -87.639223912)"
14,3121541,HK108680,2003-01-05,038XX W FLOURNOY ST,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,False,1133,11,24.0,26.0,6,1150808.0,1896753.0,2003,41.87258418,-87.72178565,"(41.872584178, -87.72178565)"
15,10209850,HY396729,2015-08-24,026XX N ELSTON AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1432,14,1.0,22.0,6,1160867.0,1917657.0,2015,41.92974382,-87.68427378,"(41.929743818, -87.684273777)"
16,6866556,HR271603,2009-04-16,089XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,OTHER,True,False,413,4,8.0,48.0,6,1188475.0,1846086.0,2009,41.73273081,-87.58511413,"(41.732730806, -87.585114125)"
17,9681782,HX332132,2014-07-04,079XX S STATE ST,820,THEFT,$500 AND UNDER,CTA PLATFORM,False,False,623,6,6.0,44.0,6,1177660.0,1852569.0,2014,41.75077211,-87.62453842,"(41.750772111, -87.624538423)"
18,9166453,HW303994,2013-06-04,055XX W GLADYS AVE,810,THEFT,OVER $500,VACANT LOT/LAND,False,False,1522,15,29.0,25.0,6,1139693.0,1897797.0,2013,41.87565911,-87.76256886,"(41.875659108, -87.762568861)"
19,7762423,HS569246,2010-10-17,058XX W ARTHINGTON ST,880,THEFT,PURSE-SNATCHING,SIDEWALK,False,False,1513,15,29.0,25.0,6,1137635.0,1895420.0,2010,41.8691736,-87.77018245,"(41.869173601, -87.770182447)"
20,10046030,HY234744,2015-04-24,008XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,18,42.0,8.0,6,1177338.0,1906213.0,2015,41.89798294,-87.62409563,"(41.897982937, -87.624095634)"
21,6233210,HP320451,2008-05-06,0000X S STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,123,1,42.0,32.0,6,1176390.0,1900234.0,2008,41.8815977,-87.62775808,"(41.881597699, -87.627758082)"
22,5677874,HN484464,2007-07-22,0000X E 69TH ST,820,THEFT,$500 AND UNDER,STREET,False,False,322,3,20.0,69.0,6,1178177.0,1859290.0,2007,41.76920358,-87.62244037,"(41.769203583, -87.622440369)"
23,11230490,JB151690,2018-02-14,036XX S ARCHER AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,912,9,11.0,59.0,6,1161614.0,1880357.0,2018,41.82737375,-87.68256806,"(41.827373751, -87.682568055)"
24,7172285,HR582990,2009-10-11,060XX S HALSTED ST,810,THEFT,OVER $500,STREET,False,False,712,7,16.0,68.0,6,1171999.0,1865041.0,2009,41.78512289,-87.64491718,"(41.785122891, -87.644917177)"
25,7125811,HR535632,2009-09-13,044XX N ELSTON AVE,820,THEFT,$500 AND UNDER,ATHLETIC CLUB,False,False,1722,17,39.0,14.0,6,1148062.0,1929262.0,2009,41.96184525,-87.7310293,"(41.961845248, -87.731029303)"
26,2219750,HH486939,2002-07-03,100XX W OHARE ST,870,THEFT,POCKET-PICKING,AIRPORT/AIRCRAFT,False,False,1651,16,41.0,76.0,6,1100658.0,1934241.0,2002,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
27,9296677,HW441620,2013-09-07,066XX S WESTERN AVE,820,THEFT,$500 AND UNDER,STREET,False,False,832,8,15.0,66.0,6,1161515.0,1860616.0,2013,41.773204,-87.68347884,"(41.773203996, -87.68347884)"
28,2889910,HJ561433,2003-08-13,104XX S HALSTED ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2233,22,34.0,73.0,6,1172824.0,1835651.0,2003,41.70445472,-87.64275716,"(41.704454724, -87.642757155)"
29,7173960,HR583513,2009-10-11,079XX S PARNELL AVE,810,THEFT,OVER $500,STREET,False,False,621,6,17.0,44.0,6,1174008.0,1852295.0,2009,41.750102,-87.63792916,"(41.750101999, -87.637929163)"
30,9859793,HX509438,2014-11-16,002XX S MICHIGAN AVE,890,THEFT,FROM BUILDING,OTHER,False,False,113,1,42.0,32.0,6,1177328.0,1899333.0,2014,41.87910409,-87.62434115,"(41.879104092, -87.62434115)"
31,7868443,HS681158,2010-12-21,036XX S GILES AVE,810,THEFT,OVER $500,APARTMENT,False,False,212,2,2.0,35.0,6,1178860.0,1880905.0,2010,41.8285016,-87.61927867,"(41.828501601, -87.61927867)"
32,3314082,HK350670,2004-05-07,031XX N BROADWAY,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2332,19,44.0,6.0,6,1171693.0,1921311.0,2004,41.93953877,-87.64438351,"(41.939538767, -87.644383505)"
33,1516518,G256545,2001-05-04,045XX S DAMEN AV,820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,True,False,914,9,,,6,1163610.0,1874345.0,2001,41.81083442,-87.6754139,"(41.810834416, -87.675413895)"
34,10952376,JA272438,2017-05-20,028XX W 21ST ST,820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1023,10,12.0,30.0,6,1157493.0,1889929.0,2017,41.85372509,-87.69742748,"(41.853725089, -87.697427476)"
35,2000970,HH201585,2002-02-22,024XX N MILWAUKEE AV,810,THEFT,OVER $500,BAR OR TAVERN,False,False,1414,14,,,6,1156341.0,1915936.0,2002,41.92511408,-87.70095228,"(41.925114077, -87.700952275)"
36,1476982,G212935,2001-04-14,007XX N GREEN ST,850,THEFT,ATTEMPT THEFT,MOVIE HOUSE/THEATER,False,False,1323,12,,,6,1170623.0,1905487.0,2001,41.89614043,-87.64878026,"(41.896140428, -87.648780261)"
37,4273693,HL590300,2005-08-31,009XX N SACRAMENTO BLVD,810,THEFT,OVER $500,STREET,False,False,1311,12,26.0,23.0,6,1156004.0,1906299.0,2005,41.89867615,-87.70245104,"(41.898676154, -87.702451037)"
38,4067549,HL409680,2005-06-09,069XX S SANGAMON ST,820,THEFT,$500 AND UNDER,STREET,False,False,733,7,17.0,68.0,6,1171170.0,1858915.0,2005,41.76833059,-87.64813561,"(41.768330593, -87.648135609)"
39,4718689,HM324025,2006-05-01,0000X W ELM ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1824,18,42.0,8.0,6,1175504.0,1908078.0,2006,41.903142,-87.63077557,"(41.903141995, -87.63077557)"
40,1845995,G662598,2001-11-03,0000X N STATE ST,820,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,122,1,,,6,1176398.0,1900691.0,2001,41.88285155,-87.62771491,"(41.882851552, -87.627714909)"
41,8678872,HV353560,2012-04-15,072XX S PAXTON AVE,890,THEFT,FROM BUILDING,RESIDENCE,False,False,333,3,5.0,43.0,6,1192140.0,1857319.0,2012,41.76346691,-87.57132336,"(41.763466911, -87.571323359)"
42,6855661,HR261581,2009-04-10,017XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1034,10,25.0,31.0,6,1165218.0,1889459.0,2009,41.85227488,-87.66908723,"(41.852274879, -87.66908723)"
43,4385612,HL680775,2005-10-14,017XX N HERMITAGE AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1433,14,32.0,24.0,6,1164410.0,1911688.0,2005,41.91329017,-87.67142355,"(41.913290173, -87.671423547)"
44,4929211,HM543491,2006-06-29,021XX W ROSCOE ST,810,THEFT,OVER $500,STREET,False,False,1913,19,32.0,5.0,6,1161308.0,1922552.0,2006,41.94316683,-87.68251667,"(41.943166826, -87.682516667)"
45,9978032,HY167451,2015-02-27,063XX S YALE AVE,820,THEFT,$500 AND UNDER,SIDEWALK,False,False,722,7,20.0,68.0,6,1175585.0,1863128.0,2015,41.77979388,-87.63182661,"(41.779793875, -87.631826613)"
46,10190267,HY377901,2015-08-10,026XX N MILWAUKEE AVE,810,THEFT,OVER $500,SIDEWALK,False,False,1412,14,35.0,22.0,6,1154504.0,1917426.0,2015,41.92923973,-87.70766234,"(41.929239732, -87.707662339)"
47,9575333,HX225704,2014-04-16,002XX W MONROE ST,890,THEFT,FROM BUILDING,RESTAURANT,False,False,122,1,2.0,32.0,6,1174585.0,1899875.0,2014,41.88065311,-87.63439665,"(41.880653112, -87.634396649)"
48,2688426,HJ308632,2003-04-17,017XX N AUSTIN AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,False,False,2531,25,29.0,25.0,6,1136138.0,1910943.0,2003,41.91179756,-87.77530779,"(41.911797557, -87.775307788)"
49,8854340,HV528008,2012-10-20,029XX N LAKE SHORE DR,890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,False,False,1934,19,44.0,6.0,6,1173772.0,1920055.0,2012,41.93604616,-87.63678016,"(41.936046155, -87.636780157)"
50,3704662,HK801112,2004-12-10,055XX S WELLS ST,810,THEFT,OVER $500,STREET,False,False,711,7,3.0,68.0,6,1175549.0,1868101.0,2004,41.79344111,-87.63180984,"(41.793441113, -87.631809838)"
51,7724785,HS532107,2010-09-11,065XX S ST LAWRENCE AVE,890,THEFT,FROM BUILDING,APARTMENT,False,False,321,3,20.0,42.0,6,1181360.0,1861718.0,2010,41.77579347,-87.61069831,"(41.775793468, -87.61069831)"
52,10943516,JA261898,2017-05-13,0000X N LATROBE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1522,15,28.0,25.0,6,1141381.0,1899903.0,2017,41.88140727,-87.75631908,"(41.88140727, -87.756319082)"
53,11185089,JA559176,2017-12-20,019XX S MILLARD AVE,810,THEFT,OVER $500,RESIDENCE,False,False,1014,10,24.0,29.0,6,1152346.0,1890287.0,2017,41.85481053,-87.71630954,"(41.854810528, -87.716309542)"
54,11072808,JA412895,2017-08-31,011XX N KARLOV AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),False,False,1111,11,37.0,23.0,6,1148843.0,1907272.0,2017,41.90148766,-87.728728,"(41.901487656, -87.728728004)"
55,10084732,HY273740,2015-05-24,004XX N STATE ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1831,18,42.0,8.0,6,1176302.0,1903096.0,2015,41.88945317,-87.62799483,"(41.889453169, -87.627994833)"
56,10485657,HZ224258,2016-04-12,017XX N LUNA AVE,820,THEFT,$500 AND UNDER,STREET,False,False,2532,25,37.0,25.0,6,1139131.0,1911034.0,2016,41.91199331,-87.76431002,"(41.911993311, -87.764310023)"
57,2963994,HJ652747,2003-09-26,022XX W HARRISON ST,820,THEFT,$500 AND UNDER,STREET,False,False,1211,12,2.0,28.0,6,1161653.0,1897333.0,2003,41.87395682,-87.68195253,"(41.873956822, -87.681952527)"
58,1340847,G040244,2001-01-19,063XX N NAGLE AV,820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,True,False,1611,16,,,6,1132586.0,1941599.0,2001,41.99598354,-87.78763989,"(41.99598354, -87.787639887)"
59,2771112,HJ415128,2003-06-08,037XX S WOLCOTT AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,922,9,11.0,59.0,6,1164300.0,1879991.0,2003,41.82631315,-87.67272382,"(41.826313153, -87.67272382)"
60,8861185,HV534721,2012-10-25,017XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,DEPARTMENT STORE,False,False,1811,18,32.0,7.0,6,1164140.0,1915989.0,2012,41.92509811,-87.67229367,"(41.925098106, -87.672293669)"
61,11143628,JA503725,2017-11-08,058XX S ASHLAND AVE,820,THEFT,$500 AND UNDER,STREET,True,False,713,7,15.0,67.0,6,1166676.0,1865801.0,2017,41.78732372,-87.66441195,"(41.787323718, -87.664411954)"
62,5214424,HM803061,2006-12-31,029XX N ASHLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1931,19,32.0,6.0,6,1165142.0,1919763.0,2006,41.93543292,-87.66850434,"(41.935432921, -87.668504341)"
63,5931425,HN731220,2007-11-21,003XX S WACKER DR,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,111,1,2.0,32.0,6,1173916.0,1898816.0,2007,41.87776207,-87.63688469,"(41.877762073, -87.63688469)"
64,6622100,HP691879,2008-11-17,046XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,APARTMENT,False,False,2123,2,4.0,39.0,6,1183100.0,1874490.0,2008,41.81080062,-87.60392245,"(41.810800619, -87.603922445)"
65,8863261,HV537004,2012-10-25,054XX N ASHLAND AVE,810,THEFT,OVER $500,OTHER,False,True,2012,20,40.0,77.0,6,1164674.0,1936421.0,2012,41.98115315,-87.6697502,"(41.981153152, -87.669750197)"
66,6731976,HR149903,2009-02-02,010XX W BELMONT AVE,890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,False,False,1924,19,44.0,6.0,6,1168964.0,1921423.0,2009,41.93990585,-87.65441005,"(41.939905846, -87.654410045)"
67,9664739,HX314361,2014-06-21,018XX W 22ND PL,820,THEFT,$500 AND UNDER,STREET,False,False,1034,10,25.0,31.0,6,1164340.0,1889153.0,2014,41.85145378,-87.67231838,"(41.851453777, -87.672318382)"
68,8670090,HV345270,2012-06-20,013XX W 51ST ST,890,THEFT,FROM BUILDING,CONSTRUCTION SITE,False,False,933,9,16.0,61.0,6,1168063.0,1870939.0,2012,41.80139327,-87.65917869,"(41.801393265, -87.659178692)"
69,7505841,HS308747,2010-05-15,004XX E 95TH ST,890,THEFT,FROM BUILDING,GAS STATION,False,False,633,6,9.0,49.0,6,1180667.0,1842071.0,2010,41.72189586,-87.61384102,"(41.721895856, -87.613841024)"
70,3637126,HK728309,2004-11-03,008XX N KEDZIE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1121,11,27.0,23.0,6,1154891.0,1905271.0,2004,41.89587761,-87.70656663,"(41.895877613, -87.706566627)"
71,4153041,HL005270,2005-07-12,008XX N CICERO AVE,820,THEFT,$500 AND UNDER,GAS STATION,False,False,1111,11,37.0,25.0,6,1144207.0,1904963.0,2005,41.8952399,-87.74581479,"(41.895239896, -87.745814792)"
72,10102551,HY291329,2015-06-06,028XX W DEVON AVE,860,THEFT,RETAIL THEFT,DRUG STORE,False,False,2413,24,50.0,2.0,6,1156278.0,1942331.0,2015,41.9975448,-87.70046744,"(41.997544797, -87.700467444)"
73,2988938,HJ678713,2003-10-07,050XX S KEDZIE AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,821,8,14.0,63.0,6,1155893.0,1871118.0,2003,41.80213772,-87.70380602,"(41.802137724, -87.703806024)"
74,10225755,HY412959,2015-09-05,065XX S HOYNE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,726,7,15.0,67.0,6,1163490.0,1861218.0,2015,41.77481479,-87.67622207,"(41.774814785, -87.676222073)"
75,9499852,HX155070,2014-02-17,002XX E MARQUETTE RD,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,322,3,20.0,69.0,6,1178939.0,1860641.0,2014,41.77289355,-87.61960616,"(41.772893552, -87.61960616)"
76,8727329,HV402967,2012-07-27,062XX S MC VICKER AVE,810,THEFT,OVER $500,STREET,False,False,812,8,23.0,64.0,6,1137145.0,1862622.0,2012,41.77917942,-87.77276701,"(41.779179421, -87.772767014)"
77,9682442,HX332979,2014-07-05,042XX W 55TH ST,820,THEFT,$500 AND UNDER,APARTMENT,False,True,813,8,13.0,62.0,6,1148818.0,1867790.0,2014,41.79314445,-87.72983895,"(41.793144448, -87.729838952)"
78,3013050,HJ710634,2003-10-22,070XX S WESTERN AVE,810,THEFT,OVER $500,STREET,False,False,832,8,17.0,66.0,6,1161593.0,1857866.0,2003,41.76565599,-87.6832691,"(41.765655988, -87.683269102)"
79,9509922,HX165034,2014-02-25,109XX S CHURCH ST,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2212,22,19.0,75.0,6,1167242.0,1831951.0,2014,41.69442233,-87.66330302,"(41.694422332, -87.663303015)"
80,6980726,HR385117,2009-06-20,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,833,8,13.0,65.0,6,1145727.0,1853720.0,2009,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
81,7428379,HS230912,2010-03-29,113XX S NORMAL AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,False,2233,22,34.0,49.0,6,1174990.0,1829768.0,2010,41.68826295,-87.63500028,"(41.688262954, -87.635000281)"
82,3808095,HL177398,2005-02-12,026XX N ELSTON AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1432,14,1.0,22.0,6,1160867.0,1917657.0,2005,41.92974382,-87.68427378,"(41.929743818, -87.684273777)"
83,2405698,HH702524,2002-10-09,025XX W FLOURNOY ST,820,THEFT,$500 AND UNDER,STREET,False,False,1135,11,2.0,28.0,6,1159336.0,1896944.0,2002,41.8729373,-87.69047017,"(41.872937304, -87.690470166)"
84,11048967,JA384163,2017-08-02,028XX N Maplewood Ave,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,1411,14,1.0,21.0,6,1158865.0,1918857.0,2017,41.93307805,-87.69159758,"(41.933078052, -87.691597583)"
85,2975480,HJ672058,2003-10-01,016XX N OAKLEY AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1434,14,1.0,24.0,6,1160770.0,1911006.0,2003,41.91149502,-87.68481506,"(41.911495021, -87.684815055)"
86,8134254,HT368471,2011-06-26,069XX N WOLCOTT AVE,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,False,2424,24,49.0,1.0,6,1162360.0,1945827.0,2011,42.00701239,-87.67799561,"(42.007012388, -87.67799561)"
87,10012707,HY202462,2015-03-28,056XX W BYRON ST,810,THEFT,OVER $500,STREET,False,False,1633,16,38.0,15.0,6,1138080.0,1925360.0,2015,41.95132446,-87.76782401,"(41.95132446, -87.767824012)"
88,9704121,HX354359,2014-07-21,032XX S KEDZIE AVE,820,THEFT,$500 AND UNDER,CTA BUS,False,False,1033,10,12.0,30.0,6,1155548.0,1883013.0,2014,41.83478608,-87.70475217,"(41.834786077, -87.704752166)"
89,10409937,HZ146741,2016-02-09,006XX W 87TH ST,820,THEFT,$500 AND UNDER,STREET,False,False,622,6,21.0,71.0,6,1173383.0,1847259.0,2016,41.7362964,-87.64036804,"(41.736296397, -87.64036804)"
90,1612358,G376790,2001-06-28,0000X S STATE ST,820,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,123,1,,,6,1176418.0,1900379.0,2001,41.88199496,-87.62765089,"(41.881994955, -87.62765089)"
91,9612532,HX262353,2014-05-14,084XX W BRYN MAWR AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1614,16,41.0,76.0,6,1118919.0,1936092.0,2014,41.98109971,-87.83803283,"(41.981099706, -87.838032833)"
92,6231712,HP317516,2008-05-05,061XX S NARRAGANSETT AVE,820,THEFT,$500 AND UNDER,STREET,False,False,812,8,23.0,64.0,6,1134794.0,1863173.0,2008,41.7807332,-87.78137324,"(41.7807332, -87.781373244)"
93,10585295,HZ335434,2016-07-03,040XX N KEDVALE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,1722,17,39.0,16.0,6,1148122.0,1926708.0,2016,41.95483572,-87.73087472,"(41.95483572, -87.730874723)"
94,7865597,HS678732,2010-12-27,063XX S HALSTED ST,820,THEFT,$500 AND UNDER,STREET,False,False,723,7,20.0,68.0,6,1172055.0,1862918.0,2010,41.77929591,-87.64477419,"(41.779295906, -87.644774188)"
95,4029579,HL382289,2005-05-27,001XX E GRAND AVE,810,THEFT,OVER $500,STREET,False,False,1834,18,42.0,8.0,6,1177533.0,1903942.0,2005,41.89174678,-87.62344844,"(41.891746779, -87.623448439)"
96,4778195,HM392612,2006-06-03,057XX N MAGNOLIA AVE,820,THEFT,$500 AND UNDER,STREET,False,False,2013,20,48.0,77.0,6,1166924.0,1938218.0,2006,41.98603604,-87.6614236,"(41.986036039, -87.661423603)"
97,2522757,HH869886,2002-12-31,048XX W NORTH AVE,820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,True,False,2533,25,37.0,25.0,6,1143844.0,1910199.0,2002,41.90961488,-87.74701658,"(41.909614875, -87.747016581)"
98,7054414,HR460350,2009-08-01,062XX S PAULINA ST,820,THEFT,$500 AND UNDER,STREET,False,False,714,7,15.0,67.0,6,1166078.0,1863385.0,2009,41.78070666,-87.66667324,"(41.780706656, -87.666673244)"
99,4533063,HM117889,2006-01-11,010XX E 111TH ST,810,THEFT,OVER $500,OTHER,False,False,513,5,9.0,50.0,6,1184891.0,1831392.0,2006,41.69249346,-87.59870306,"(41.692493455, -87.598703055)"
100,7166946,HR576816,2009-10-07,045XX N KEDZIE AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1724,17,33.0,14.0,6,1154233.0,1929942.0,2009,41.96358994,-87.70832281,"(41.963589941, -87.708322812)"
101,10619033,HZ372381,2016-07-25,023XX W JACKSON BLVD,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1225,12,2.0,28.0,6,1160918.0,1898643.0,2016,41.87756686,-87.68461475,"(41.877566857, -87.684614749)"
102,10787573,HZ556726,2016-12-19,005XX W 95TH ST,820,THEFT,$500 AND UNDER,STREET,False,False,2223,22,21.0,73.0,6,1174212.0,1841887.0,2016,41.72153655,-87.63748998,"(41.721536545, -87.637489981)"
103,5613705,HN421595,2007-06-13,058XX S ARCHER AVE,890,THEFT,FROM BUILDING,OTHER,False,False,814,8,23.0,56.0,6,1140413.0,1868766.0,2007,41.79598053,-87.76063592,"(41.795980534, -87.760635922)"
104,3398799,HK454598,2004-06-25,017XX N NATCHEZ AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,2513,25,36.0,25.0,6,1132589.0,1910893.0,2004,41.91172297,-87.78834715,"(41.911722972, -87.788347149)"
105,2355174,HH657809,2002-09-18,102XX S HOXIE AVE,820,THEFT,$500 AND UNDER,STREET,False,False,431,4,10.0,51.0,6,1195158.0,1837678.0,2002,41.70949645,-87.56090809,"(41.709496448, -87.560908092)"
106,7646435,HS451246,2010-08-07,023XX W ROSCOE ST,460,BATTERY,SIMPLE,SIDEWALK,True,False,1913,19,32.0,5.0,08B,1160352.0,1922529.0,2010,41.94312358,-87.68603108,"(41.943123577, -87.686031082)"
107,2088541,HH316735,2002-04-19,031XX S ASHLAND AV,460,BATTERY,SIMPLE,GROCERY FOOD STORE,False,False,922,9,,,08B,1166183.0,1883676.0,2002,41.83638523,-87.66571041,"(41.836385231, -87.66571041)"
108,1778867,G597730,2001-10-05,024XX W HADDON AV,460,BATTERY,SIMPLE,STREET,False,True,1312,12,,,08B,1159562.0,1907600.0,2001,41.90217367,-87.6893468,"(41.902173665, -87.689346803)"
109,1887291,G736811,2001-12-09,035XX W DICKENS AV,460,BATTERY,SIMPLE,RESIDENCE,False,True,1413,14,,,08B,1152633.0,1913771.0,2001,41.91924736,-87.71463465,"(41.919247363, -87.714634645)"
110,8418606,HT651635,2011-12-29,056XX W ROOSEVELT RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,True,1513,15,29.0,25.0,08B,1139135.0,1894124.0,2011,41.86559007,-87.764707,"(41.865590065, -87.764706995)"
111,10679671,HZ432273,2016-09-13,035XX N ELSTON AVE,460,BATTERY,SIMPLE,DRUG STORE,False,False,1733,17,35.0,21.0,08B,1154298.0,1923613.0,2016,41.94622144,-87.70825356,"(41.946221444, -87.708253555)"
112,1719296,G517474,2001-08-29,017XX W 59 ST,460,BATTERY,SIMPLE,RESIDENCE,False,True,714,7,,,08B,1165757.0,1865528.0,2001,41.78659414,-87.66778928,"(41.786594143, -87.66778928)"
